Bauxite_destination_m,Bauxite_source_m,Bauxite_tonnes_m,Alumina_destination_m,Alumina_source_m,Alumina_tonnes_m,Bauxite_destination_x,Bauxite_source_x,Bauxite_tonnes_x,Alumina_destination_x,Alumina_source_x,Alumina_tonnes_x,Bauxite_local_country,Bauxite_local_tonnes,country1,avg_co2_kg_per_kwh,country2,energy_kwh_per_t
China,Guinea,110091480000,China,Australia,893290606,China,Croatia,8593410,China,Russian Federation,1636050789,Australia,100000,Australia,0.72455,China,13262
China,Australia,39885140000,China,Viet Nam,206679060,China,India,7397510,China,Rep. of Korea,229125403,Brazil,33000,Brazil,0.10025,Canada,15016
China,Türkiye,2529699800,China,Indonesia,148664100,China,France,5160000,China,Japan,162257568,China,93000,Canada,0.14904,Australia,16302
China,Lao People's Dem. Rep.,1543551100,China,India,64637930,China,Belgium,1705000,China,USA,160761319,Greece,1200,China,0.83704,Norway,15619
China,Brazil,1232840200,China,USA,37391367,China,Türkiye,546000,China,India,129375953,Guinea,130000,France,0.06299,USA,15016
China,Ghana,1163071000,China,Kazakhstan,35998800,China,Russian Federation,133600,China,Netherlands,80459944,India,25000,Germany,0.42885,France,15619
China,Malaysia,938380500,China,Japan,26128748,China,USA,100084,China,"Other Asia, nes",65892607,Indonesia,32000,India,1.37004,Germany,15619
China,Côte d'Ivoire,710239300,China,Germany,25280318,China,Rep. of Korea,100000,China,Indonesia,62865686,Jamaica,6100,Italy,0.33314,India,14677
China,Montenegro,345244000,China,France,21055862.4,India,Kuwait,154020000,China,Türkiye,47465297,Kazakhstan,4900,Japan,0.54653,United Kingdom,15619
China,India,131236395,China,Rep. of Korea,20587285,India,China,103454195,China,Viet Nam,47201044,Russia,6300,Mexico,0.59031,Japan,14677
China,Sierra Leone,47519805,China,United Arab Emirates,2175000,India,Nepal,73314175.8,China,Thailand,38348719,Saudi Arabia,5800,Norway,0.01183,Rep. of Korea,14677
China,Jamaica,19830220,China,Singapore,1288308,India,Oman,8800000,China,United Arab Emirates,30327771,Turkey,3200,Rep. of Korea,0.58382,Mexico,15016
China,Pakistan,4718763,India,Indonesia,1033940300,India,Slovenia,6839080,China,Germany,28867407,Vietnam,4200,Spain,0.17951,Brazil,15855
India,Guinea,3764040164,India,Australia,493881150,India,Cameroon,380900,China,Italy,28611405.3,,,Türkiye,0.6076,Italy,15619
India,Ghana,222187000,India,Viet Nam,284003700,India,Sudan,301350,China,Malaysia,28006050,,,United Kingdom,0.2454,Spain,15619
India,China,112585300,India,India,122690417,India,Thailand,252000,China,Saudi Arabia,24752627,,,USA,0.43808,Türkiye,15619
India,Guyana,15118490,India,Germany,27874741.2,India,United Arab Emirates,104900,China,Poland,23768425,,,Sweden,0.02443,Sweden,15619
India,USA,5294534,India,Saudi Arabia,9363800,India,Bangladesh,101000,China,United Kingdom,22945190,,,Greece,0.40004,Greece,15619
India,Netherlands,593550,India,Canada,4529700,India,Rep. of Korea,100000,China,Mexico,21847101,,,Bahrain,0.64088,Bahrain,14677
India,Spain,135000,India,Bahrain,3374520,Australia,China,41536100000,China,Brazil,21462793,,,,,,
Australia,China,2229990,India,France,3244082,Australia,Rep. of Korea,396046920,China,Spain,16536630,,,,,,
Australia,Guyana,284200,India,USA,2258239,Australia,United Arab Emirates,351492000,China,Iran,11608047,,,,,,
Australia,United Kingdom,132000,India,United Kingdom,1592033.8,Australia,USA,262603000,China,Philippines,11428275,,,,,,
